Notes,ICD-10 130 Cause List (Infants),ICD-10 130 Cause List (Infants) Code,Year of Death,Year of Death Code,Deaths,Births,Death Rate
,#Varicella (chickenpox) (B01),GR130-014,2009,2009,0,4130665,0
,#Varicella (chickenpox) (B01),GR130-014,2010,2010,0,3999386,0
,#Varicella (chickenpox) (B01),GR130-014,2011,2011,0,3953590,0
,#Varicella (chickenpox) (B01),GR130-014,2012,2012,0,3952841,0
,#Varicella (chickenpox) (B01),GR130-014,2013,2013,0,3932181,0
,#Varicella (chickenpox) (B01),GR130-014,2014,2014,0,3988076,0
,#Varicella (chickenpox) (B01),GR130-014,2015,2015,0,3978497,0
,#Varicella (chickenpox) (B01),GR130-014,2016,2016,0,3945875,0
,#Varicella (chickenpox) (B01),GR130-014,2017,2017,0,3855500,0
,#Varicella (chickenpox) (B01),GR130-014,2018,2018,0,3791712,0
,#Varicella (chickenpox) (B01),GR130-014,2019,2019,0,3747540,0
,#Varicella (chickenpox) (B01),GR130-014,2020,2020,0,3613647,0
,#Varicella (chickenpox) (B01),GR130-014,2021,2021,0,3664292,0
,#Varicella (chickenpox) (B01),GR130-014,2022,2022,0,3667758,0
,#Varicella (chickenpox) (B01),GR130-014,2023,2023,0,3596017,0
,#Measles (B05),GR130-015,2007,2007,0,4316233,0
,#Measles (B05),GR130-015,2008,2008,0,4247726,0
,#Measles (B05),GR130-015,2009,2009,0,4130665,0
,#Measles (B05),GR130-015,2010,2010,0,3999386,0
,#Measles (B05),GR130-015,2011,2011,0,3953590,0
,#Measles (B05),GR130-015,2012,2012,0,3952841,0
,#Measles (B05),GR130-015,2013,2013,0,3932181,0
,#Measles (B05),GR130-015,2014,2014,0,3988076,0
,#Measles (B05),GR130-015,2015,2015,0,3978497,0
,#Measles (B05),GR130-015,2016,2016,0,3945875,0
,#Measles (B05),GR130-015,2017,2017,0,3855500,0
,#Measles (B05),GR130-015,2018,2018,0,3791712,0
,#Measles (B05),GR130-015,2019,2019,0,3747540,0
,#Measles (B05),GR130-015,2020,2020,0,3613647,0
,#Measles (B05),GR130-015,2021,2021,0,3664292,0
,#Measles (B05),GR130-015,2022,2022,0,3667758,0
,#Measles (B05),GR130-015,2023,2023,0,3596017,0
,#Human immunodeficiency virus (HIV) disease (B20-B24),GR130-016,2007,2007,Suppressed,4316233,Suppressed
,#Human immunodeficiency virus (HIV) disease (B20-B24),GR130-016,2008,2008,0,4247726,0
,#Human immunodeficiency virus (HIV) disease (B20-B24),GR130-016,2009,2009,Suppressed,4130665,Suppressed
,#Human immunodeficiency virus (HIV) disease (B20-B24),GR130-016,2010,2010,0,3999386,0
,#Human immunodeficiency virus (HIV) disease (B20-B24),GR130-016,2011,2011,Suppressed,3953590,Suppressed
,#Human immunodeficiency virus (HIV) disease (B20-B24),GR130-016,2012,2012,Suppressed,3952841,Suppressed
,#Human immunodeficiency virus (HIV) disease (B20-B24),GR130-016,2013,2013,0,3932181,0
,#Human immunodeficiency virus (HIV) disease (B20-B24),GR130-016,2014,2014,Suppressed,3988076,Suppressed
,#Human immunodeficiency virus (HIV) disease (B20-B24),GR130-016,2015,2015,Suppressed,3978497,Suppressed
,#Human immunodeficiency virus (HIV) disease (B20-B24),GR130-016,2016,2016,0,3945875,0
,#Human immunodeficiency virus (HIV) disease (B20-B24),GR130-016,2017,2017,0,3855500,0
,#Human immunodeficiency virus (HIV) disease (B20-B24),GR130-016,2018,2018,0,3791712,0
,#Human immunodeficiency virus (HIV) disease (B20-B24),GR130-016,2019,2019,Suppressed,3747540,Suppressed
,#Human immunodeficiency virus (HIV) disease (B20-B24),GR130-016,2020,2020,Suppressed,3613647,Suppressed
,#Human immunodeficiency virus (HIV) disease (B20-B24),GR130-016,2021,2021,Suppressed,3664292,Suppressed
,#Human immunodeficiency virus (HIV) disease (B20-B24),GR130-016,2022,2022,Suppressed,3667758,Suppressed
,#Human immunodeficiency virus (HIV) disease (B20-B24),GR130-016,2023,2023,0,3596017,0
,#Mumps (B26),GR130-017,2007,2007,0,4316233,0
,#Mumps (B26),GR130-017,2008,2008,0,4247726,0
,#Mumps (B26),GR130-017,2009,2009,0,4130665,0
,#Mumps (B26),GR130-017,2010,2010,0,3999386,0
,#Mumps (B26),GR130-017,2011,2011,0,3953590,0
,#Mumps (B26),GR130-017,2012,2012,0,3952841,0
,#Mumps (B26),GR130-017,2013,2013,0,3932181,0
,#Mumps (B26),GR130-017,2014,2014,0,3988076,0
,#Mumps (B26),GR130-017,2015,2015,0,3978497,0
,#Mumps (B26),GR130-017,2016,2016,0,3945875,0
,#Mumps (B26),GR130-017,2017,2017,0,3855500,0
,#Mumps (B26),GR130-017,2018,2018,0,3791712,0
,#Mumps (B26),GR130-017,2019,2019,0,3747540,0
,#Mumps (B26),GR130-017,2020,2020,0,3613647,0
,#Mumps (B26),GR130-017,2021,2021,0,3664292,0
,#Mumps (B26),GR130-017,2022,2022,0,3667758,0
,#Mumps (B26),GR130-017,2023,2023,0,3596017,0
,"Other and unspecified viral diseases (A81-B00,B02-B04,B06-B19,B25,B27-B34,U07.1)",GR130-018,2007,2007,110,4316233,0.03
,"Other and unspecified viral diseases (A81-B00,B02-B04,B06-B19,B25,B27-B34,U07.1)",GR130-018,2008,2008,100,4247726,0.02
,"Other and unspecified viral diseases (A81-B00,B02-B04,B06-B19,B25,B27-B34,U07.1)",GR130-018,2009,2009,98,4130665,0.02
,"Other and unspecified viral diseases (A81-B00,B02-B04,B06-B19,B25,B27-B34,U07.1)",GR130-018,2010,2010,89,3999386,0.02
,"Other and unspecified viral diseases (A81-B00,B02-B04,B06-B19,B25,B27-B34,U07.1)",GR130-018,2011,2011,68,3953590,0.02
,"Other and unspecified viral diseases (A81-B00,B02-B04,B06-B19,B25,B27-B34,U07.1)",GR130-018,2012,2012,82,3952841,0.02
,"Other and unspecified viral diseases (A81-B00,B02-B04,B06-B19,B25,B27-B34,U07.1)",GR130-018,2013,2013,93,3932181,0.02
,"Other and unspecified viral diseases (A81-B00,B02-B04,B06-B19,B25,B27-B34,U07.1)",GR130-018,2014,2014,122,3988076,0.03
,"Other and unspecified viral diseases (A81-B00,B02-B04,B06-B19,B25,B27-B34,U07.1)",GR130-018,2015,2015,101,3978497,0.03
,"Other and unspecified viral diseases (A81-B00,B02-B04,B06-B19,B25,B27-B34,U07.1)",GR130-018,2016,2016,113,3945875,0.03
,"Other and unspecified viral diseases (A81-B00,B02-B04,B06-B19,B25,B27-B34,U07.1)",GR130-018,2017,2017,141,3855500,0.04
,"Other and unspecified viral diseases (A81-B00,B02-B04,B06-B19,B25,B27-B34,U07.1)",GR130-018,2018,2018,153,3791712,0.04
,"Other and unspecified viral diseases (A81-B00,B02-B04,B06-B19,B25,B27-B34,U07.1)",GR130-018,2019,2019,134,3747540,0.04
,"Other and unspecified viral diseases (A81-B00,B02-B04,B06-B19,B25,B27-B34,U07.1)",GR130-018,2020,2020,113,3613647,0.03
,"Other and unspecified viral diseases (A81-B00,B02-B04,B06-B19,B25,B27-B34,U07.1)",GR130-018,2021,2021,202,3664292,0.06
,"Other and unspecified viral diseases (A81-B00,B02-B04,B06-B19,B25,B27-B34,U07.1)",GR130-018,2022,2022,268,3667758,0.07
,"Other and unspecified viral diseases (A81-B00,B02-B04,B06-B19,B25,B27-B34,U07.1)",GR130-018,2023,2023,222,3596017,0.06
,#Candidiasis (B37),GR130-019,2007,2007,13,4316233,0.00 (Unreliable)
,#Candidiasis (B37),GR130-019,2008,2008,Suppressed,4247726,Suppressed
,#Candidiasis (B37),GR130-019,2009,2009,11,4130665,0.00 (Unreliable)
,#Candidiasis (B37),GR130-019,2010,2010,Suppressed,3999386,Suppressed
,#Candidiasis (B37),GR130-019,2011,2011,Suppressed,3953590,Suppressed
,#Candidiasis (B37),GR130-019,2012,2012,Suppressed,3952841,Suppressed
,#Candidiasis (B37),GR130-019,2013,2013,Suppressed,3932181,Suppressed
,#Candidiasis (B37),GR130-019,2014,2014,Suppressed,3988076,Suppressed
,#Candidiasis (B37),GR130-019,2015,2015,Suppressed,3978497,Suppressed
,#Candidiasis (B37),GR130-019,2016,2016,0,3945875,0
,#Candidiasis (B37),GR130-019,2017,2017,Suppressed,3855500,Suppressed
,#Candidiasis (B37),GR130-019,2018,2018,Suppressed,3791712,Suppressed
,#Candidiasis (B37),GR130-019,2019,2019,Suppressed,3747540,Suppressed
,#Candidiasis (B37),GR130-019,2020,2020,Suppressed,3613647,Suppressed
,#Candidiasis (B37),GR130-019,2021,2021,Suppressed,3664292,Suppressed
,#Candidiasis (B37),GR130-019,2022,2022,Suppressed,3667758,Suppressed
,#Candidiasis (B37),GR130-019,2023,2023,Suppressed,3596017,Suppressed
,#Malaria (B50-B54),GR130-020,2007,2007,0,4316233,0
,#Malaria (B50-B54),GR130-020,2008,2008,0,4247726,0
,#Malaria (B50-B54),GR130-020,2009,2009,Suppressed,4130665,Suppressed
,#Malaria (B50-B54),GR130-020,2010,2010,0,3999386,0
,#Malaria (B50-B54),GR130-020,2011,2011,0,3953590,0
,#Malaria (B50-B54),GR130-020,2012,2012,0,3952841,0
,#Malaria (B50-B54),GR130-020,2013,2013,0,3932181,0
,#Malaria (B50-B54),GR130-020,2014,2014,0,3988076,0
,#Malaria (B50-B54),GR130-020,2015,2015,0,3978497,0
,#Malaria (B50-B54),GR130-020,2016,2016,0,3945875,0
,#Malaria (B50-B54),GR130-020,2017,2017,0,3855500,0
,#Malaria (B50-B54),GR130-020,2018,2018,0,3791712,0
