Notes,ICD-10 130 Cause List (Infants),ICD-10 130 Cause List (Infants) Code,Year of Death,Year of Death Code,Deaths,Births,Death Rate
,#Disorders related to long gestation and high birth weight (P08),GR130-091,2023,2023,Suppressed,3596017,Suppressed
,#Birth trauma (P10-P15),GR130-092,2007,2007,12,4316233,0.00 (Unreliable)
,#Birth trauma (P10-P15),GR130-092,2008,2008,18,4247726,0.00 (Unreliable)
,#Birth trauma (P10-P15),GR130-092,2009,2009,16,4130665,0.00 (Unreliable)
,#Birth trauma (P10-P15),GR130-092,2010,2010,19,3999386,0.00 (Unreliable)
,#Birth trauma (P10-P15),GR130-092,2011,2011,17,3953590,0.00 (Unreliable)
,#Birth trauma (P10-P15),GR130-092,2012,2012,17,3952841,0.00 (Unreliable)
,#Birth trauma (P10-P15),GR130-092,2013,2013,Suppressed,3932181,Suppressed
,#Birth trauma (P10-P15),GR130-092,2014,2014,13,3988076,0.00 (Unreliable)
,#Birth trauma (P10-P15),GR130-092,2015,2015,13,3978497,0.00 (Unreliable)
,#Birth trauma (P10-P15),GR130-092,2016,2016,16,3945875,0.00 (Unreliable)
,#Birth trauma (P10-P15),GR130-092,2017,2017,12,3855500,0.00 (Unreliable)
,#Birth trauma (P10-P15),GR130-092,2018,2018,12,3791712,0.00 (Unreliable)
,#Birth trauma (P10-P15),GR130-092,2019,2019,13,3747540,0.00 (Unreliable)
,#Birth trauma (P10-P15),GR130-092,2020,2020,Suppressed,3613647,Suppressed
,#Birth trauma (P10-P15),GR130-092,2021,2021,11,3664292,0.00 (Unreliable)
,#Birth trauma (P10-P15),GR130-092,2022,2022,19,3667758,0.01 (Unreliable)
,#Birth trauma (P10-P15),GR130-092,2023,2023,21,3596017,0.01
,#Intrauterine hypoxia and birth asphyxia (P20-P21),GR130-093,2007,2007,352,4316233,0.08
,#Intrauterine hypoxia and birth asphyxia (P20-P21),GR130-093,2008,2008,378,4247726,0.09
,#Intrauterine hypoxia and birth asphyxia (P20-P21),GR130-093,2009,2009,316,4130665,0.08
,#Intrauterine hypoxia and birth asphyxia (P20-P21),GR130-093,2010,2010,315,3999386,0.08
,#Intrauterine hypoxia and birth asphyxia (P20-P21),GR130-093,2011,2011,312,3953590,0.08
,#Intrauterine hypoxia and birth asphyxia (P20-P21),GR130-093,2012,2012,318,3952841,0.08
,#Intrauterine hypoxia and birth asphyxia (P20-P21),GR130-093,2013,2013,316,3932181,0.08
,#Intrauterine hypoxia and birth asphyxia (P20-P21),GR130-093,2014,2014,326,3988076,0.08
,#Intrauterine hypoxia and birth asphyxia (P20-P21),GR130-093,2015,2015,315,3978497,0.08
,#Intrauterine hypoxia and birth asphyxia (P20-P21),GR130-093,2016,2016,340,3945875,0.09
,#Intrauterine hypoxia and birth asphyxia (P20-P21),GR130-093,2017,2017,326,3855500,0.08
,#Intrauterine hypoxia and birth asphyxia (P20-P21),GR130-093,2018,2018,311,3791712,0.08
,#Intrauterine hypoxia and birth asphyxia (P20-P21),GR130-093,2019,2019,337,3747540,0.09
,#Intrauterine hypoxia and birth asphyxia (P20-P21),GR130-093,2020,2020,306,3613647,0.08
,#Intrauterine hypoxia and birth asphyxia (P20-P21),GR130-093,2021,2021,360,3664292,0.1
,#Intrauterine hypoxia and birth asphyxia (P20-P21),GR130-093,2022,2022,362,3667758,0.1
,#Intrauterine hypoxia and birth asphyxia (P20-P21),GR130-093,2023,2023,363,3596017,0.1
,Intrauterine hypoxia (P20),GR130-094,2007,2007,104,4316233,0.02
,Intrauterine hypoxia (P20),GR130-094,2008,2008,142,4247726,0.03
,Intrauterine hypoxia (P20),GR130-094,2009,2009,120,4130665,0.03
,Intrauterine hypoxia (P20),GR130-094,2010,2010,138,3999386,0.03
,Intrauterine hypoxia (P20),GR130-094,2011,2011,127,3953590,0.03
,Intrauterine hypoxia (P20),GR130-094,2012,2012,140,3952841,0.04
,Intrauterine hypoxia (P20),GR130-094,2013,2013,146,3932181,0.04
,Intrauterine hypoxia (P20),GR130-094,2014,2014,150,3988076,0.04
,Intrauterine hypoxia (P20),GR130-094,2015,2015,146,3978497,0.04
,Intrauterine hypoxia (P20),GR130-094,2016,2016,181,3945875,0.05
,Intrauterine hypoxia (P20),GR130-094,2017,2017,162,3855500,0.04
,Intrauterine hypoxia (P20),GR130-094,2018,2018,173,3791712,0.05
,Intrauterine hypoxia (P20),GR130-094,2019,2019,187,3747540,0.05
,Intrauterine hypoxia (P20),GR130-094,2020,2020,170,3613647,0.05
,Intrauterine hypoxia (P20),GR130-094,2021,2021,191,3664292,0.05
,Intrauterine hypoxia (P20),GR130-094,2022,2022,214,3667758,0.06
,Intrauterine hypoxia (P20),GR130-094,2023,2023,224,3596017,0.06
,Birth asphyxia (P21),GR130-095,2007,2007,248,4316233,0.06
,Birth asphyxia (P21),GR130-095,2008,2008,236,4247726,0.06
,Birth asphyxia (P21),GR130-095,2009,2009,196,4130665,0.05
,Birth asphyxia (P21),GR130-095,2010,2010,177,3999386,0.04
,Birth asphyxia (P21),GR130-095,2011,2011,185,3953590,0.05
,Birth asphyxia (P21),GR130-095,2012,2012,178,3952841,0.05
,Birth asphyxia (P21),GR130-095,2013,2013,171,3932181,0.04
,Birth asphyxia (P21),GR130-095,2014,2014,175,3988076,0.04
,Birth asphyxia (P21),GR130-095,2015,2015,168,3978497,0.04
,Birth asphyxia (P21),GR130-095,2016,2016,160,3945875,0.04
,Birth asphyxia (P21),GR130-095,2017,2017,164,3855500,0.04
,Birth asphyxia (P21),GR130-095,2018,2018,138,3791712,0.04
,Birth asphyxia (P21),GR130-095,2019,2019,150,3747540,0.04
,Birth asphyxia (P21),GR130-095,2020,2020,136,3613647,0.04
,Birth asphyxia (P21),GR130-095,2021,2021,170,3664292,0.05
,Birth asphyxia (P21),GR130-095,2022,2022,147,3667758,0.04
,Birth asphyxia (P21),GR130-095,2023,2023,140,3596017,0.04
,#Respiratory distress of newborn (P22),GR130-096,2007,2007,800,4316233,0.19
,#Respiratory distress of newborn (P22),GR130-096,2008,2008,636,4247726,0.15
,#Respiratory distress of newborn (P22),GR130-096,2009,2009,595,4130665,0.14
,#Respiratory distress of newborn (P22),GR130-096,2010,2010,518,3999386,0.13
,#Respiratory distress of newborn (P22),GR130-096,2011,2011,520,3953590,0.13
,#Respiratory distress of newborn (P22),GR130-096,2012,2012,504,3952841,0.13
,#Respiratory distress of newborn (P22),GR130-096,2013,2013,528,3932181,0.13
,#Respiratory distress of newborn (P22),GR130-096,2014,2014,462,3988076,0.12
,#Respiratory distress of newborn (P22),GR130-096,2015,2015,462,3978497,0.12
,#Respiratory distress of newborn (P22),GR130-096,2016,2016,491,3945875,0.12
,#Respiratory distress of newborn (P22),GR130-096,2017,2017,441,3855500,0.11
,#Respiratory distress of newborn (P22),GR130-096,2018,2018,391,3791712,0.1
,#Respiratory distress of newborn (P22),GR130-096,2019,2019,429,3747540,0.11
,#Respiratory distress of newborn (P22),GR130-096,2020,2020,389,3613647,0.11
,#Respiratory distress of newborn (P22),GR130-096,2021,2021,413,3664292,0.11
,#Respiratory distress of newborn (P22),GR130-096,2022,2022,458,3667758,0.12
,#Respiratory distress of newborn (P22),GR130-096,2023,2023,453,3596017,0.13
,Other respiratory conditions originating in the perinatal period (P23-P28),GR130-097,2007,2007,1118,4316233,0.26
,Other respiratory conditions originating in the perinatal period (P23-P28),GR130-097,2008,2008,1103,4247726,0.26
,Other respiratory conditions originating in the perinatal period (P23-P28),GR130-097,2009,2009,962,4130665,0.23
,Other respiratory conditions originating in the perinatal period (P23-P28),GR130-097,2010,2010,817,3999386,0.2
,Other respiratory conditions originating in the perinatal period (P23-P28),GR130-097,2011,2011,818,3953590,0.21
,Other respiratory conditions originating in the perinatal period (P23-P28),GR130-097,2012,2012,798,3952841,0.2
,Other respiratory conditions originating in the perinatal period (P23-P28),GR130-097,2013,2013,788,3932181,0.2
,Other respiratory conditions originating in the perinatal period (P23-P28),GR130-097,2014,2014,757,3988076,0.19
,Other respiratory conditions originating in the perinatal period (P23-P28),GR130-097,2015,2015,787,3978497,0.2
,Other respiratory conditions originating in the perinatal period (P23-P28),GR130-097,2016,2016,812,3945875,0.21
,Other respiratory conditions originating in the perinatal period (P23-P28),GR130-097,2017,2017,736,3855500,0.19
,Other respiratory conditions originating in the perinatal period (P23-P28),GR130-097,2018,2018,753,3791712,0.2
,Other respiratory conditions originating in the perinatal period (P23-P28),GR130-097,2019,2019,790,3747540,0.21
,Other respiratory conditions originating in the perinatal period (P23-P28),GR130-097,2020,2020,702,3613647,0.19
,Other respiratory conditions originating in the perinatal period (P23-P28),GR130-097,2021,2021,714,3664292,0.19
,Other respiratory conditions originating in the perinatal period (P23-P28),GR130-097,2022,2022,857,3667758,0.23
,Other respiratory conditions originating in the perinatal period (P23-P28),GR130-097,2023,2023,876,3596017,0.24
,#Congenital pneumonia (P23),GR130-098,2007,2007,104,4316233,0.02
,#Congenital pneumonia (P23),GR130-098,2008,2008,73,4247726,0.02
,#Congenital pneumonia (P23),GR130-098,2009,2009,94,4130665,0.02
,#Congenital pneumonia (P23),GR130-098,2010,2010,71,3999386,0.02
,#Congenital pneumonia (P23),GR130-098,2011,2011,70,3953590,0.02
,#Congenital pneumonia (P23),GR130-098,2012,2012,61,3952841,0.02
,#Congenital pneumonia (P23),GR130-098,2013,2013,54,3932181,0.01
,#Congenital pneumonia (P23),GR130-098,2014,2014,55,3988076,0.01
,#Congenital pneumonia (P23),GR130-098,2015,2015,48,3978497,0.01
,#Congenital pneumonia (P23),GR130-098,2016,2016,52,3945875,0.01
,#Congenital pneumonia (P23),GR130-098,2017,2017,37,3855500,0.01
,#Congenital pneumonia (P23),GR130-098,2018,2018,47,3791712,0.01
,#Congenital pneumonia (P23),GR130-098,2019,2019,47,3747540,0.01
,#Congenital pneumonia (P23),GR130-098,2020,2020,34,3613647,0.01
,#Congenital pneumonia (P23),GR130-098,2021,2021,41,3664292,0.01
,#Congenital pneumonia (P23),GR130-098,2022,2022,55,3667758,0.01
,#Congenital pneumonia (P23),GR130-098,2023,2023,53,3596017,0.01
,#Neonatal aspiration syndromes (P24),GR130-099,2007,2007,50,4316233,0.01
,#Neonatal aspiration syndromes (P24),GR130-099,2008,2008,57,4247726,0.01
,#Neonatal aspiration syndromes (P24),GR130-099,2009,2009,45,4130665,0.01
,#Neonatal aspiration syndromes (P24),GR130-099,2010,2010,51,3999386,0.01
,#Neonatal aspiration syndromes (P24),GR130-099,2011,2011,48,3953590,0.01
,#Neonatal aspiration syndromes (P24),GR130-099,2012,2012,35,3952841,0.01
,#Neonatal aspiration syndromes (P24),GR130-099,2013,2013,41,3932181,0.01
,#Neonatal aspiration syndromes (P24),GR130-099,2014,2014,60,3988076,0.02
,#Neonatal aspiration syndromes (P24),GR130-099,2015,2015,46,3978497,0.01
,#Neonatal aspiration syndromes (P24),GR130-099,2016,2016,42,3945875,0.01
,#Neonatal aspiration syndromes (P24),GR130-099,2017,2017,48,3855500,0.01
,#Neonatal aspiration syndromes (P24),GR130-099,2018,2018,48,3791712,0.01
,#Neonatal aspiration syndromes (P24),GR130-099,2019,2019,38,3747540,0.01
,#Neonatal aspiration syndromes (P24),GR130-099,2020,2020,28,3613647,0.01
,#Neonatal aspiration syndromes (P24),GR130-099,2021,2021,43,3664292,0.01
,#Neonatal aspiration syndromes (P24),GR130-099,2022,2022,46,3667758,0.01
,#Neonatal aspiration syndromes (P24),GR130-099,2023,2023,57,3596017,0.02
,#Interstitial emphysema and related conditions originating in the perinatal period (P25),GR130-100,2007,2007,126,4316233,0.03
,#Interstitial emphysema and related conditions originating in the perinatal period (P25),GR130-100,2008,2008,124,4247726,0.03
,#Interstitial emphysema and related conditions originating in the perinatal period (P25),GR130-100,2009,2009,115,4130665,0.03
,#Interstitial emphysema and related conditions originating in the perinatal period (P25),GR130-100,2010,2010,107,3999386,0.03
,#Interstitial emphysema and related conditions originating in the perinatal period (P25),GR130-100,2011,2011,87,3953590,0.02
,#Interstitial emphysema and related conditions originating in the perinatal period (P25),GR130-100,2012,2012,88,3952841,0.02
,#Interstitial emphysema and related conditions originating in the perinatal period (P25),GR130-100,2013,2013,97,3932181,0.02
,#Interstitial emphysema and related conditions originating in the perinatal period (P25),GR130-100,2014,2014,89,3988076,0.02
,#Interstitial emphysema and related conditions originating in the perinatal period (P25),GR130-100,2015,2015,92,3978497,0.02
,#Interstitial emphysema and related conditions originating in the perinatal period (P25),GR130-100,2016,2016,103,3945875,0.03
,#Interstitial emphysema and related conditions originating in the perinatal period (P25),GR130-100,2017,2017,65,3855500,0.02
,#Interstitial emphysema and related conditions originating in the perinatal period (P25),GR130-100,2018,2018,68,3791712,0.02
,#Interstitial emphysema and related conditions originating in the perinatal period (P25),GR130-100,2019,2019,91,3747540,0.02
,#Interstitial emphysema and related conditions originating in the perinatal period (P25),GR130-100,2020,2020,66,3613647,0.02
,#Interstitial emphysema and related conditions originating in the perinatal period (P25),GR130-100,2021,2021,63,3664292,0.02
,#Interstitial emphysema and related conditions originating in the perinatal period (P25),GR130-100,2022,2022,74,3667758,0.02
,#Interstitial emphysema and related conditions originating in the perinatal period (P25),GR130-100,2023,2023,66,3596017,0.02
,#Pulmonary hemorrhage originating in the perinatal period (P26),GR130-101,2007,2007,162,4316233,0.04
,#Pulmonary hemorrhage originating in the perinatal period (P26),GR130-101,2008,2008,198,4247726,0.05
,#Pulmonary hemorrhage originating in the perinatal period (P26),GR130-101,2009,2009,161,4130665,0.04
,#Pulmonary hemorrhage originating in the perinatal period (P26),GR130-101,2010,2010,168,3999386,0.04
,#Pulmonary hemorrhage originating in the perinatal period (P26),GR130-101,2011,2011,176,3953590,0.04
,#Pulmonary hemorrhage originating in the perinatal period (P26),GR130-101,2012,2012,174,3952841,0.04
,#Pulmonary hemorrhage originating in the perinatal period (P26),GR130-101,2013,2013,157,3932181,0.04
,#Pulmonary hemorrhage originating in the perinatal period (P26),GR130-101,2014,2014,157,3988076,0.04
,#Pulmonary hemorrhage originating in the perinatal period (P26),GR130-101,2015,2015,153,3978497,0.04
,#Pulmonary hemorrhage originating in the perinatal period (P26),GR130-101,2016,2016,178,3945875,0.05
,#Pulmonary hemorrhage originating in the perinatal period (P26),GR130-101,2017,2017,134,3855500,0.03
,#Pulmonary hemorrhage originating in the perinatal period (P26),GR130-101,2018,2018,153,3791712,0.04
,#Pulmonary hemorrhage originating in the perinatal period (P26),GR130-101,2019,2019,136,3747540,0.04
,#Pulmonary hemorrhage originating in the perinatal period (P26),GR130-101,2020,2020,122,3613647,0.03
,#Pulmonary hemorrhage originating in the perinatal period (P26),GR130-101,2021,2021,146,3664292,0.04
,#Pulmonary hemorrhage originating in the perinatal period (P26),GR130-101,2022,2022,139,3667758,0.04
,#Pulmonary hemorrhage originating in the perinatal period (P26),GR130-101,2023,2023,191,3596017,0.05
,#Chronic respiratory disease originating in the perinatal period (P27),GR130-102,2007,2007,243,4316233,0.06
,#Chronic respiratory disease originating in the perinatal period (P27),GR130-102,2008,2008,237,4247726,0.06
,#Chronic respiratory disease originating in the perinatal period (P27),GR130-102,2009,2009,185,4130665,0.04
,#Chronic respiratory disease originating in the perinatal period (P27),GR130-102,2010,2010,107,3999386,0.03
,#Chronic respiratory disease originating in the perinatal period (P27),GR130-102,2011,2011,105,3953590,0.03
,#Chronic respiratory disease originating in the perinatal period (P27),GR130-102,2012,2012,118,3952841,0.03
,#Chronic respiratory disease originating in the perinatal period (P27),GR130-102,2013,2013,104,3932181,0.03
,#Chronic respiratory disease originating in the perinatal period (P27),GR130-102,2014,2014,99,3988076,0.02
,#Chronic respiratory disease originating in the perinatal period (P27),GR130-102,2015,2015,114,3978497,0.03
,#Chronic respiratory disease originating in the perinatal period (P27),GR130-102,2016,2016,94,3945875,0.02
,#Chronic respiratory disease originating in the perinatal period (P27),GR130-102,2017,2017,121,3855500,0.03
,#Chronic respiratory disease originating in the perinatal period (P27),GR130-102,2018,2018,159,3791712,0.04
,#Chronic respiratory disease originating in the perinatal period (P27),GR130-102,2019,2019,157,3747540,0.04
,#Chronic respiratory disease originating in the perinatal period (P27),GR130-102,2020,2020,128,3613647,0.04
,#Chronic respiratory disease originating in the perinatal period (P27),GR130-102,2021,2021,126,3664292,0.03
,#Chronic respiratory disease originating in the perinatal period (P27),GR130-102,2022,2022,171,3667758,0.05
,#Chronic respiratory disease originating in the perinatal period (P27),GR130-102,2023,2023,128,3596017,0.04
,#Atelectasis (P28.0-P28.1),GR130-103,2007,2007,365,4316233,0.08
,#Atelectasis (P28.0-P28.1),GR130-103,2008,2008,338,4247726,0.08
,#Atelectasis (P28.0-P28.1),GR130-103,2009,2009,283,4130665,0.07
,#Atelectasis (P28.0-P28.1),GR130-103,2010,2010,250,3999386,0.06
,#Atelectasis (P28.0-P28.1),GR130-103,2011,2011,272,3953590,0.07
,#Atelectasis (P28.0-P28.1),GR130-103,2012,2012,257,3952841,0.07
,#Atelectasis (P28.0-P28.1),GR130-103,2013,2013,255,3932181,0.06
,#Atelectasis (P28.0-P28.1),GR130-103,2014,2014,240,3988076,0.06
,#Atelectasis (P28.0-P28.1),GR130-103,2015,2015,271,3978497,0.07
,#Atelectasis (P28.0-P28.1),GR130-103,2016,2016,277,3945875,0.07
,#Atelectasis (P28.0-P28.1),GR130-103,2017,2017,257,3855500,0.07
,#Atelectasis (P28.0-P28.1),GR130-103,2018,2018,215,3791712,0.06
,#Atelectasis (P28.0-P28.1),GR130-103,2019,2019,250,3747540,0.07
,#Atelectasis (P28.0-P28.1),GR130-103,2020,2020,248,3613647,0.07
,#Atelectasis (P28.0-P28.1),GR130-103,2021,2021,244,3664292,0.07
,#Atelectasis (P28.0-P28.1),GR130-103,2022,2022,289,3667758,0.08
,#Atelectasis (P28.0-P28.1),GR130-103,2023,2023,308,3596017,0.09
,All other respiratory conditions originating in the perinatal period (P28.2-P28.9),GR130-104,2007,2007,69,4316233,0.02
,All other respiratory conditions originating in the perinatal period (P28.2-P28.9),GR130-104,2008,2008,76,4247726,0.02
,All other respiratory conditions originating in the perinatal period (P28.2-P28.9),GR130-104,2009,2009,80,4130665,0.02
,All other respiratory conditions originating in the perinatal period (P28.2-P28.9),GR130-104,2010,2010,63,3999386,0.02
,All other respiratory conditions originating in the perinatal period (P28.2-P28.9),GR130-104,2011,2011,61,3953590,0.02
,All other respiratory conditions originating in the perinatal period (P28.2-P28.9),GR130-104,2012,2012,66,3952841,0.02
,All other respiratory conditions originating in the perinatal period (P28.2-P28.9),GR130-104,2013,2013,79,3932181,0.02
,All other respiratory conditions originating in the perinatal period (P28.2-P28.9),GR130-104,2014,2014,56,3988076,0.01
,All other respiratory conditions originating in the perinatal period (P28.2-P28.9),GR130-104,2015,2015,63,3978497,0.02
,All other respiratory conditions originating in the perinatal period (P28.2-P28.9),GR130-104,2016,2016,65,3945875,0.02
,All other respiratory conditions originating in the perinatal period (P28.2-P28.9),GR130-104,2017,2017,73,3855500,0.02
,All other respiratory conditions originating in the perinatal period (P28.2-P28.9),GR130-104,2018,2018,62,3791712,0.02
,All other respiratory conditions originating in the perinatal period (P28.2-P28.9),GR130-104,2019,2019,71,3747540,0.02
,All other respiratory conditions originating in the perinatal period (P28.2-P28.9),GR130-104,2020,2020,76,3613647,0.02
,All other respiratory conditions originating in the perinatal period (P28.2-P28.9),GR130-104,2021,2021,51,3664292,0.01
,All other respiratory conditions originating in the perinatal period (P28.2-P28.9),GR130-104,2022,2022,82,3667758,0.02
,All other respiratory conditions originating in the perinatal period (P28.2-P28.9),GR130-104,2023,2023,73,3596017,0.02
,Infections specific to the perinatal period (P35-P39),GR130-105,2007,2007,1065,4316233,0.25
,Infections specific to the perinatal period (P35-P39),GR130-105,2008,2008,906,4247726,0.21
,Infections specific to the perinatal period (P35-P39),GR130-105,2009,2009,834,4130665,0.2
,Infections specific to the perinatal period (P35-P39),GR130-105,2010,2010,749,3999386,0.19
,Infections specific to the perinatal period (P35-P39),GR130-105,2011,2011,724,3953590,0.18
,Infections specific to the perinatal period (P35-P39),GR130-105,2012,2012,723,3952841,0.18
,Infections specific to the perinatal period (P35-P39),GR130-105,2013,2013,743,3932181,0.19
,Infections specific to the perinatal period (P35-P39),GR130-105,2014,2014,694,3988076,0.17
,Infections specific to the perinatal period (P35-P39),GR130-105,2015,2015,766,3978497,0.19
,Infections specific to the perinatal period (P35-P39),GR130-105,2016,2016,768,3945875,0.19
,Infections specific to the perinatal period (P35-P39),GR130-105,2017,2017,763,3855500,0.2
,Infections specific to the perinatal period (P35-P39),GR130-105,2018,2018,723,3791712,0.19
,Infections specific to the perinatal period (P35-P39),GR130-105,2019,2019,765,3747540,0.2
,Infections specific to the perinatal period (P35-P39),GR130-105,2020,2020,700,3613647,0.19
,Infections specific to the perinatal period (P35-P39),GR130-105,2021,2021,721,3664292,0.2
,Infections specific to the perinatal period (P35-P39),GR130-105,2022,2022,812,3667758,0.22
,Infections specific to the perinatal period (P35-P39),GR130-105,2023,2023,814,3596017,0.23
,#Bacterial sepsis of newborn (P36),GR130-106,2007,2007,828,4316233,0.19
,#Bacterial sepsis of newborn (P36),GR130-106,2008,2008,702,4247726,0.17
,#Bacterial sepsis of newborn (P36),GR130-106,2009,2009,654,4130665,0.16
,#Bacterial sepsis of newborn (P36),GR130-106,2010,2010,588,3999386,0.15
,#Bacterial sepsis of newborn (P36),GR130-106,2011,2011,533,3953590,0.13
,#Bacterial sepsis of newborn (P36),GR130-106,2012,2012,565,3952841,0.14
,#Bacterial sepsis of newborn (P36),GR130-106,2013,2013,582,3932181,0.15
,#Bacterial sepsis of newborn (P36),GR130-106,2014,2014,547,3988076,0.14
,#Bacterial sepsis of newborn (P36),GR130-106,2015,2015,599,3978497,0.15
,#Bacterial sepsis of newborn (P36),GR130-106,2016,2016,584,3945875,0.15
,#Bacterial sepsis of newborn (P36),GR130-106,2017,2017,593,3855500,0.15
,#Bacterial sepsis of newborn (P36),GR130-106,2018,2018,582,3791712,0.15
,#Bacterial sepsis of newborn (P36),GR130-106,2019,2019,607,3747540,0.16
,#Bacterial sepsis of newborn (P36),GR130-106,2020,2020,543,3613647,0.15
,#Bacterial sepsis of newborn (P36),GR130-106,2021,2021,560,3664292,0.15
,#Bacterial sepsis of newborn (P36),GR130-106,2022,2022,640,3667758,0.17
,#Bacterial sepsis of newborn (P36),GR130-106,2023,2023,626,3596017,0.17
,#Omphalitis of newborn with or without mild hemorrhage (P38),GR130-107,2007,2007,Suppressed,4316233,Suppressed
,#Omphalitis of newborn with or without mild hemorrhage (P38),GR130-107,2008,2008,Suppressed,4247726,Suppressed
,#Omphalitis of newborn with or without mild hemorrhage (P38),GR130-107,2009,2009,Suppressed,4130665,Suppressed
,#Omphalitis of newborn with or without mild hemorrhage (P38),GR130-107,2010,2010,Suppressed,3999386,Suppressed
,#Omphalitis of newborn with or without mild hemorrhage (P38),GR130-107,2011,2011,Suppressed,3953590,Suppressed
,#Omphalitis of newborn with or without mild hemorrhage (P38),GR130-107,2012,2012,Suppressed,3952841,Suppressed
,#Omphalitis of newborn with or without mild hemorrhage (P38),GR130-107,2013,2013,Suppressed,3932181,Suppressed
,#Omphalitis of newborn with or without mild hemorrhage (P38),GR130-107,2014,2014,Suppressed,3988076,Suppressed
,#Omphalitis of newborn with or without mild hemorrhage (P38),GR130-107,2015,2015,Suppressed,3978497,Suppressed
,#Omphalitis of newborn with or without mild hemorrhage (P38),GR130-107,2016,2016,Suppressed,3945875,Suppressed
,#Omphalitis of newborn with or without mild hemorrhage (P38),GR130-107,2017,2017,0,3855500,0
,#Omphalitis of newborn with or without mild hemorrhage (P38),GR130-107,2018,2018,0,3791712,0
,#Omphalitis of newborn with or without mild hemorrhage (P38),GR130-107,2019,2019,Suppressed,3747540,Suppressed
,#Omphalitis of newborn with or without mild hemorrhage (P38),GR130-107,2020,2020,Suppressed,3613647,Suppressed
,#Omphalitis of newborn with or without mild hemorrhage (P38),GR130-107,2021,2021,Suppressed,3664292,Suppressed
,#Omphalitis of newborn with or without mild hemorrhage (P38),GR130-107,2022,2022,0,3667758,0
,#Omphalitis of newborn with or without mild hemorrhage (P38),GR130-107,2023,2023,Suppressed,3596017,Suppressed
,"All other infections specific to the perinatal period (P35,P37,P39)",GR130-108,2007,2007,234,4316233,0.05
,"All other infections specific to the perinatal period (P35,P37,P39)",GR130-108,2008,2008,202,4247726,0.05
,"All other infections specific to the perinatal period (P35,P37,P39)",GR130-108,2009,2009,176,4130665,0.04
,"All other infections specific to the perinatal period (P35,P37,P39)",GR130-108,2010,2010,160,3999386,0.04
,"All other infections specific to the perinatal period (P35,P37,P39)",GR130-108,2011,2011,189,3953590,0.05
,"All other infections specific to the perinatal period (P35,P37,P39)",GR130-108,2012,2012,155,3952841,0.04
,"All other infections specific to the perinatal period (P35,P37,P39)",GR130-108,2013,2013,160,3932181,0.04
,"All other infections specific to the perinatal period (P35,P37,P39)",GR130-108,2014,2014,145,3988076,0.04
,"All other infections specific to the perinatal period (P35,P37,P39)",GR130-108,2015,2015,166,3978497,0.04
,"All other infections specific to the perinatal period (P35,P37,P39)",GR130-108,2016,2016,184,3945875,0.05
,"All other infections specific to the perinatal period (P35,P37,P39)",GR130-108,2017,2017,169,3855500,0.04
,"All other infections specific to the perinatal period (P35,P37,P39)",GR130-108,2018,2018,142,3791712,0.04
,"All other infections specific to the perinatal period (P35,P37,P39)",GR130-108,2019,2019,157,3747540,0.04
,"All other infections specific to the perinatal period (P35,P37,P39)",GR130-108,2020,2020,154,3613647,0.04
,"All other infections specific to the perinatal period (P35,P37,P39)",GR130-108,2021,2021,159,3664292,0.04
,"All other infections specific to the perinatal period (P35,P37,P39)",GR130-108,2022,2022,172,3667758,0.05
,"All other infections specific to the perinatal period (P35,P37,P39)",GR130-108,2023,2023,188,3596017,0.05
,Hemorrhagic and hematological disorders of newborn (P50-P61),GR130-109,2007,2007,721,4316233,0.17
,Hemorrhagic and hematological disorders of newborn (P50-P61),GR130-109,2008,2008,650,4247726,0.15
,Hemorrhagic and hematological disorders of newborn (P50-P61),GR130-109,2009,2009,627,4130665,0.15
,Hemorrhagic and hematological disorders of newborn (P50-P61),GR130-109,2010,2010,558,3999386,0.14
,Hemorrhagic and hematological disorders of newborn (P50-P61),GR130-109,2011,2011,562,3953590,0.14
,Hemorrhagic and hematological disorders of newborn (P50-P61),GR130-109,2012,2012,519,3952841,0.13
,Hemorrhagic and hematological disorders of newborn (P50-P61),GR130-109,2013,2013,497,3932181,0.13
,Hemorrhagic and hematological disorders of newborn (P50-P61),GR130-109,2014,2014,561,3988076,0.14
,Hemorrhagic and hematological disorders of newborn (P50-P61),GR130-109,2015,2015,518,3978497,0.13
,Hemorrhagic and hematological disorders of newborn (P50-P61),GR130-109,2016,2016,518,3945875,0.13
,Hemorrhagic and hematological disorders of newborn (P50-P61),GR130-109,2017,2017,502,3855500,0.13
,Hemorrhagic and hematological disorders of newborn (P50-P61),GR130-109,2018,2018,479,3791712,0.13
,Hemorrhagic and hematological disorders of newborn (P50-P61),GR130-109,2019,2019,462,3747540,0.12
,Hemorrhagic and hematological disorders of newborn (P50-P61),GR130-109,2020,2020,437,3613647,0.12
,Hemorrhagic and hematological disorders of newborn (P50-P61),GR130-109,2021,2021,452,3664292,0.12
,Hemorrhagic and hematological disorders of newborn (P50-P61),GR130-109,2022,2022,480,3667758,0.13
,Hemorrhagic and hematological disorders of newborn (P50-P61),GR130-109,2023,2023,455,3596017,0.13
,"#Neonatal hemorrhage (P50-P52,P54)",GR130-110,2007,2007,604,4316233,0.14
,"#Neonatal hemorrhage (P50-P52,P54)",GR130-110,2008,2008,555,4247726,0.13
,"#Neonatal hemorrhage (P50-P52,P54)",GR130-110,2009,2009,519,4130665,0.13
